SynapseID,FromSegmentID,ToSegmentID,xPosition,yPosition,zPosition
430,16236,16178,19.32,46.18,32.73
431,14512,13187,31.25,48.82,32.67
432,14445,16145,40.32,51.7,32.82
433,14061,16671,18.96,47.35,32.7
434,16599,16361,19.39,48.24,32.76
435,16440,16234,19.85,47.54,32.7
436,16308,10018,24.55,49.78,32.73
437,13933,10018,28.51,52.61,32.67
438,13923,13182,36.12,50.62,32.73
439,14001,13192,41.26,53.16,32.82
440,14273,13218,25.1,53.54,32.82
441,14008,10017,27.24,53.26,32.7
442,13692,10016,33.96,53.64,32.73
443,14071,13154,39.31,57.72,32.7
444,16352,16361,20.35,46.63,32.82
445,16634,14805,20.52,45.22,32.73
446,13897,13198,28.27,48.96,32.73
447,13833,13154,36.74,55.34,32.76
448,14578,13186,38.66,57.79,32.73
449,16319,10016,18.62,45.14,32.79
450,16520,16639,21.91,46.27,32.88
451,14274,10017,23.95,51.7,32.82
452,13715,13203,35.16,53.83,32.79
453,14058,10016,37.56,54.96,32.79
454,16628,10016,21.58,47.57,32.82
455,14038,13154,26.98,52.49,32.79
456,13830,14120,40.56,54.89,32.82
457,14062,13198,28.3,52.66,32.88
458,14261,13154,28.03,54.22,32.91
459,13752,10017,28.18,50.21,32.88
460,14222,14811,40.58,51.98,32.85
461,14068,13192,27.19,50.47,32.88
462,13761,13203,37.68,55.75,32.88
463,14008,13206,28.13,53.42,32.97
464,13951,10013,37.63,56.38,32.97
465,16499,16476,18.17,43.78,33.12
466,14181,13116,24.1,52.27,33.12
467,16376,16178,26.4,47.21,33.27
468,13938,14812,29.28,54.26,33.12
469,16460,10018,18.14,43.2,33.18
470,14201,10016,21.6,51.74,33.12
471,16610,16178,22.42,46.03,33.18
472,14144,13209,27.96,49.01,33.3
473,14057,13181,34.56,56.02,33.21
474,13837,10017,36.29,55.94,33.18
475,14155,13181,38.38,51.7,33.18
476,16207,16178,23.71,45.36,33.27
477,16652,10018,20.57,47.59,33.24
478,14073,10017,31.42,55.66,33.3
479,13834,10016,35.71,54.65,33.27
480,13999,13200,38.21,55.78,33.36
481,14970,10016,40.66,52.75,33.33
482,16381,10016,17.54,43.44,33.27
483,14038,10016,26.95,51.96,33.27
484,14690,13186,40.51,56.69,33.21
485,14153,14811,41.5,53.11,33.27
486,13879,16672,24.41,51.94,33.27
487,13787,13220,29.21,48.84,33.27
488,13834,10016,36.31,54.22,33.39
489,14000,13186,36.65,57.1,33.33
490,13982,13509,38.95,51.41,33.3
491,13854,13186,39.72,52.49,33.24
492,16283,16673,19.61,45.7,33.33
493,16532,16361,21.86,45.5,33.42
494,16273,10018,24.98,53.35,33.33
495,14008,10017,25.39,52.94,33.33
496,13928,13206,28.87,54.1,33.36
497,13877,12323,29.9,53.86,33.33
498,14126,13202,37.18,57.14,33.36
499,13713,14810,38.88,57.77,33.39
500,14223,14814,40.3,57.26,33.48
501,13775,13195,35.09,53.64,33.39
502,13830,10017,37.9,54.6,33.39
503,15867,16576,19.34,46.97,33.45
504,14068,10014,27,49.9,33.39
505,14116,10017,29.26,54.67,33.42
506,13830,10016,38.28,54.46,33.51
507,16435,10013,17.69,49.63,33.45
508,16590,16178,21.91,46.94,33.39
509,14499,14429,27.17,47.3,33.57
510,13868,13212,30.36,52.94,33.36
511,16347,10018,17.93,50.35,33.45
512,16196,16192,18.34,43.75,33.48
513,14201,10014,22.27,51.96,33.42
514,15757,16519,22.85,47.23,33.45
515,13954,14814,40.87,54.91,33.42
516,16479,16576,20.16,48.17,33.57
517,14085,13197,35.64,51.07,33.48
518,14210,13211,35.83,49.42,33.6
519,13824,10013,36.98,56.59,33.63
520,14059,14120,39.34,54.43,33.54
521,16479,10016,20.93,48.84,33.63
522,14153,16163,21.05,51.41,33.48
523,13726,10017,28.18,52.22,33.66
524,13836,13192,31.01,53.4,33.66
525,13892,13154,35.18,55.99,33.48
526,16517,10016,23.33,46.1,33.54
527,13780,13183,30.96,51,33.54
528,13702,10014,40.56,54.48,33.66
529,16179,10016,23.38,47.83,33.63
530,16160,10018,24.14,51.55,33.57
531,14039,13207,26.9,52.51,33.66
532,13773,13183,31.46,50.62,33.54
533,14025,13182,35.98,56.4,33.63
534,14211,13181,32.93,49.13,33.6
535,14153,16163,22.37,50.86,33.72
536,13929,10017,29.88,54.7,33.6
537,13868,12323,30.31,53.62,33.66
538,13757,14804,30.96,48.74,33.63
539,14086,13197,38.06,51.58,33.6
540,16387,10018,22.34,50.16,34.05
541,16394,14812,22.75,51.91,33.87
542,13902,10017,28.78,54.41,33.66
543,13777,13182,31.44,53.21,33.9
544,14034,13193,31.56,54,33.69
545,14176,14120,37.73,57.82,33.63
546,14239,15156,38.18,50.16,33.63
547,16184,10016,22.44,46.68,33.69
548,15809,10016,24.79,47.74,33.69
549,14064,10016,30.19,48.89,33.69
550,13906,13189,37.87,55.25,33.84
551,14151,10016,39.58,52.32,33.66
552,14499,16263,26.69,46.63,33.69
553,14157,14808,32.52,49.1,33.72
554,14414,14803,34.9,48.48,33.84
555,14388,10016,21.96,51.79,33.72
556,13968,13154,32.64,56.26,33.69
557,13991,13181,40.27,56.74,33.87
558,15427,13509,41.26,50.81,33.9
559,16206,16538,18.65,49.94,33.84
560,16394,10016,23.28,51.79,33.96
561,14014,10016,24.48,51.12,33.78
562,10864,13207,27.12,53.95,33.78
563,14174,13186,40.13,55.15,33.81
564,14049,13218,24.38,52.56,33.87
565,14014,10016,24.38,50.78,33.78
566,14497,13198,26.71,49.25,33.81
567,14024,14808,33.1,48.22,33.87
568,13837,10017,36.77,55.97,33.87
569,13774,13192,37.92,52.27,33.9
570,14007,13506,40.75,53.35,33.81
571,14388,16446,21.55,51.6,33.81
572,13968,13154,34.32,56.09,33.81
573,13841,13195,34.87,53.69,33.84
574,13814,13183,35.47,49.06,33.81
575,13773,10016,37.25,51.86,33.81
576,14105,13214,39.26,58.13,33.9
577,13854,13186,40.08,52.51,33.84
578,15286,15263,40.54,50.74,33.96
579,16479,14802,18.36,48.19,33.84
580,16479,16672,22.01,52.25,33.9
581,10867,10013,30.77,54.72,33.9
582,13991,14120,40.39,57.07,33.96
583,14092,13225,40.82,51.74,33.84
584,14443,10014,40.97,52.8,33.84
585,16195,16688,17.21,47.14,33.96
586,16190,16263,22.94,46.99,33.93
587,13879,10013,26.14,52.44,33.87
588,13936,10018,26.38,53.23,33.87
589,13879,13207,29.23,53.59,33.99
590,15893,13211,36.34,48.48,33.93
591,14179,15156,38.66,49.39,33.93
592,14169,14810,38.98,57.31,33.96
593,14349,13192,39.17,55.44,33.96
594,15273,13198,25.82,47.95,34.14
595,13776,13192,29.18,52.78,34.11
596,13760,10013,32.64,55.75,33.99
597,13912,13181,32.66,48.79,33.9
